experiment,dataset,variant,n_early,n_random,cnn_dim,gru_dim,gru_layers,run,accuracy_pct
baseline,HUST,default (CNN+GRU),,,,,,1,84.18
baseline,HUST,transformer,,,,,,1,-
baseline,HUST,CMA-ES,,,,,,1,-
baseline,MATR,default (CNN+GRU),,,,,,1,80.46
baseline,MATR,transformer,,,,,,1,-
baseline,MATR,CMA-ES,,,,,,1,-
baseline,LFP,default (CNN+GRU),,,,,,1,76.75
baseline,LFP,transformer,,,,,,1,-
baseline,LFP,CMA-ES,,,,,,1,-
exp15,HUST,,2,2,,,,1,88.34
exp15,HUST,,2,4,,,,1,86.77
exp15,HUST,,2,6,,,,1,86.19
exp15,HUST,,2,8,,,,1,85.24
exp15,HUST,,2,10,,,,1,82.21
exp15,HUST,,4,2,,,,1,83.95
exp15,HUST,,4,4,,,,1,80.85
exp15,HUST,,4,6,,,,1,83.33
exp15,HUST,,4,8,,,,1,88.22
exp15,HUST,,4,10,,,,1,81.91
exp15,HUST,,6,2,,,,1,80.32
exp15,HUST,,6,4,,,,1,87.92
exp15,HUST,,6,6,,,,1,84.51
exp15,HUST,,6,8,,,,1,83.74
exp15,HUST,,6,10,,,,1,86.19
exp15,HUST,,8,2,,,,1,81.83
exp15,HUST,,8,4,,,,1,84.24
exp15,HUST,,8,6,,,,1,84.57
exp15,HUST,,8,8,,,,1,84.18
exp15,HUST,,8,10,,,,1,85.21
exp15,HUST,,10,2,,,,1,82.77
exp15,HUST,,10,4,,,,1,86.22
exp15,HUST,,10,6,,,,1,84.04
exp15,HUST,,10,8,,,,1,82.56
exp15,HUST,,10,10,,,,1,86.39
exp15,HUST,,2,2,,,,2,88.34
exp15,HUST,,2,4,,,,2,86.77
exp15,HUST,,2,6,,,,2,86.19
exp15,HUST,,2,8,,,,2,85.24
exp15,HUST,,2,10,,,,2,82.21
exp15,HUST,,4,2,,,,2,83.95
exp15,HUST,,4,4,,,,2,80.85
exp15,HUST,,4,6,,,,2,83.33
exp15,HUST,,4,8,,,,2,88.22
exp15,HUST,,4,10,,,,2,81.91
exp15,HUST,,6,2,,,,2,80.32
exp15,HUST,,6,4,,,,2,87.92
exp15,HUST,,6,6,,,,2,84.51
exp15,HUST,,6,8,,,,2,83.74
exp15,HUST,,6,10,,,,2,86.19
exp15,HUST,,8,2,,,,2,81.83
exp15,HUST,,8,4,,,,2,84.24
exp15,HUST,,8,6,,,,2,84.57
exp15,HUST,,8,8,,,,2,84.18
exp15,HUST,,8,10,,,,2,85.21
exp15,HUST,,10,2,,,,2,82.77
exp15,HUST,,10,4,,,,2,86.22
exp15,HUST,,10,6,,,,2,84.04
exp15,HUST,,10,8,,,,2,82.56
exp15,HUST,,10,10,,,,2,86.39
exp15,HUST,,2,2,,,,3,88.34
exp15,HUST,,2,4,,,,3,86.77
exp15,HUST,,2,6,,,,3,86.19
exp15,HUST,,2,8,,,,3,85.24
exp15,HUST,,2,10,,,,3,82.21
exp15,HUST,,4,2,,,,3,83.95
exp15,HUST,,4,4,,,,3,80.85
exp15,HUST,,4,6,,,,3,83.33
exp15,HUST,,4,8,,,,3,88.22
exp15,HUST,,4,10,,,,3,81.91
exp15,HUST,,6,2,,,,3,80.32
exp15,HUST,,6,4,,,,3,87.92
exp15,HUST,,6,6,,,,3,84.51
exp15,HUST,,6,8,,,,3,83.74
exp15,HUST,,6,10,,,,3,86.19
exp15,HUST,,8,2,,,,3,81.83
exp15,HUST,,8,4,,,,3,84.24
exp15,HUST,,8,6,,,,3,84.57
exp15,HUST,,8,8,,,,3,84.18
exp15,HUST,,8,10,,,,3,85.21
exp15,HUST,,10,2,,,,3,82.77
exp15,HUST,,10,4,,,,3,86.22
exp15,HUST,,10,6,,,,3,84.04
exp15,HUST,,10,8,,,,3,82.56
exp15,HUST,,10,10,,,,3,86.39
exp15,HUST,,2,2,,,,4,88.34
exp15,HUST,,2,4,,,,4,86.77
exp15,HUST,,2,6,,,,4,86.19
exp15,HUST,,2,8,,,,4,85.24
exp15,HUST,,2,10,,,,4,82.21
exp15,HUST,,4,2,,,,4,83.95
exp15,HUST,,4,4,,,,4,80.85
exp15,HUST,,4,6,,,,4,83.33
exp15,HUST,,4,8,,,,4,88.22
exp15,HUST,,4,10,,,,4,81.91
exp15,HUST,,6,2,,,,4,80.32
exp15,HUST,,6,4,,,,4,87.92
exp15,HUST,,6,6,,,,4,84.51
exp15,HUST,,6,8,,,,4,83.74
exp15,HUST,,6,10,,,,4,86.19
exp15,HUST,,8,2,,,,4,81.83
exp15,HUST,,8,4,,,,4,84.24
exp15,HUST,,8,6,,,,4,84.57
exp15,HUST,,8,8,,,,4,84.18
exp15,HUST,,8,10,,,,4,85.21
exp15,HUST,,10,2,,,,4,82.77
exp15,HUST,,10,4,,,,4,86.22
exp15,HUST,,10,6,,,,4,84.04
exp15,HUST,,10,8,,,,4,82.56
exp15,HUST,,10,10,,,,4,86.39
exp15,HUST,,2,2,,,,5,88.34
exp15,HUST,,2,4,,,,5,86.77
exp15,HUST,,2,6,,,,5,86.19
exp15,HUST,,2,8,,,,5,85.24
exp15,HUST,,2,10,,,,5,82.21
exp15,HUST,,4,2,,,,5,83.95
exp15,HUST,,4,4,,,,5,80.85
exp15,HUST,,4,6,,,,5,83.33
exp15,HUST,,4,8,,,,5,88.22
exp15,HUST,,4,10,,,,5,81.91
exp15,HUST,,6,2,,,,5,80.32
exp15,HUST,,6,4,,,,5,87.92
exp15,HUST,,6,6,,,,5,84.51
exp15,HUST,,6,8,,,,5,83.74
exp15,HUST,,6,10,,,,5,86.19
exp15,HUST,,8,2,,,,5,81.83
exp15,HUST,,8,4,,,,5,84.24
exp15,HUST,,8,6,,,,5,84.57
exp15,HUST,,8,8,,,,5,84.18
exp15,HUST,,8,10,,,,5,85.21
exp15,HUST,,10,2,,,,5,82.77
exp15,HUST,,10,4,,,,5,86.22
exp15,HUST,,10,6,,,,5,84.04
exp15,HUST,,10,8,,,,5,82.56
exp15,HUST,,10,10,,,,5,86.39
exp15,MATR,,2,2,,,,1,77.34
exp15,MATR,,2,4,,,,1,79.28
exp15,MATR,,2,6,,,,1,81.51
exp15,MATR,,2,8,,,,1,82.38
exp15,MATR,,2,10,,,,1,79.38
exp15,MATR,,4,2,,,,1,80.74
exp15,MATR,,4,4,,,,1,79.34
exp15,MATR,,4,6,,,,1,79.04
exp15,MATR,,4,8,,,,1,80.26
exp15,MATR,,4,10,,,,1,80.83
exp15,MATR,,6,2,,,,1,84.18
exp15,MATR,,6,4,,,,1,81.96
exp15,MATR,,6,6,,,,1,81.65
exp15,MATR,,6,8,,,,1,81.60
exp15,MATR,,6,10,,,,1,81.91
exp15,MATR,,8,2,,,,1,79.88
exp15,MATR,,8,4,,,,1,80.44
exp15,MATR,,8,6,,,,1,82.22
exp15,MATR,,8,8,,,,1,80.46
exp15,MATR,,8,10,,,,1,81.44
exp15,MATR,,10,2,,,,1,80.15
exp15,MATR,,10,4,,,,1,77.32
exp15,MATR,,10,6,,,,1,81.75
exp15,MATR,,10,8,,,,1,81.68
exp15,MATR,,10,10,,,,1,78.79
exp15,MATR,,2,2,,,,2,77.34
exp15,MATR,,2,4,,,,2,79.28
exp15,MATR,,2,6,,,,2,81.51
exp15,MATR,,2,8,,,,2,82.38
exp15,MATR,,2,10,,,,2,79.38
